,btc_softw_dl_13,remitt_USDmil_13,intusers_aspercentpop_13,gdp_13,gdp_13_bill,blackmkt_aspercentgdp_08
Mauritania,33.00,,6.20,4162533.27,4.16,31.39
Mauritius,316.00,249.00,39.00,11938403.91,11.94,21.85
Mexico,17526.00,23022.47,43.46,1260914661.00,1260.91,28.49
Namibia,177.00,15.49,13.90,12579618.86,12.58,28.02
Moldova,2819.00,1976.25,48.80,7935229.34,7.94,43.94
Mongolia,216.00,255.73,17.70,11516409.58,11.52,15.81
Montenegro,358.00,364.53,56.80,4427771.44,4.43,
Morocco,2368.00,6881.70,56.00,104374278.80,104.37,32.58
Mozambique,108.00,217.05,5.40,15318970.10,15.32,38.13
Myanmar,154.00,565.69,1.20,,,
Nepal,691.00,5551.53,13.30,19294348.17,19.29,35.63
Netherlands,77137.00,1565.44,93.96,800173475.30,800.17,12.91
New Caledonia,93.00,478.85,66.00,,,
New Zealand,11060.00,1521.00,82.78,185787428.70,185.79,11.85
Nicaragua,409.00,1081.30,15.50,11255642.57,11.26,43.00
Niger,6.00,134.29,1.70,7355697.92,7.36,37.14
Nigeria,2183.00,20889.97,38.00,521803314.70,521.80,49.64
Norway,18693.00,791.46,95.05,512580425.50,512.58,17.81
Oman,192.00,39.01,66.45,80570458.65,80.57,16.80
Pakistan,3728.00,14626.00,10.90,236624927.70,236.62,33.10
Panama,1049.00,417.60,42.90,42648100.00,42.65,58.65
Papua New Guinea,17.00,17.28,6.50,15289374.03,15.29,36.09
Paraguay,964.00,591.04,36.90,29948866.62,29.95,37.19
Peru,3228.00,2707.25,39.20,202295635.50,202.30,52.76
Philippines,7135.00,26699.67,37.00,272017377.30,272.02,38.17
Poland,62097.00,6984.00,62.85,517542808.30,517.54,25.50
Portugal,15940.00,4372.37,62.10,220022146.70,220.02,22.84
Qatar,615.00,574.40,85.30,202450014.10,202.45,
Republic of Congo,37.00,,6.60,14108139.02,14.11,44.39
Romania,21165.00,3515.00,49.76,189638162.00,189.64,29.60
Russia,163307.00,6750.81,61.40,2096777031.00,2096.78,40.25
Rwanda,55.00,170.05,8.70,7451677.75,7.45,37.97
Sao Tome and Principe,1.00,23.12,23.00,310684.64,0.31,
Saudi Arabia,3024.00,268.77,60.50,745272533.30,745.27,16.61
Senegal,147.00,1613.91,20.90,15149708.53,15.15,40.85
Serbia,7150.00,3183.46,51.50,42520511.66,42.52,
Seychelles,30.00,13.21,50.40,1268018.74,1.27,
Sierra Leone,10.00,60.99,1.70,4929214.08,4.93,39.15
Singapore,10643.00,,73.00,297941261.10,297.94,12.13
Slovakia,14779.00,2071.75,77.88,95770169.94,95.77,16.57
Slovenia,6920.00,686.00,72.68,46833394.46,46.83,24.11
South Africa,11622.00,970.66,48.90,350630133.30,350.63,24.87
South Korea,15757.00,,84.77,1304553973.00,1304.55,25.26
Spain,52180.00,9583.98,71.57,1358262668.00,1358.26,22.01
Sri Lanka,803.00,6422.19,21.90,67182015.34,67.18,41.31
Sudan,164.00,424.39,22.70,66547789.47,66.55,22.97
Suriname,199.00,6.99,37.40,5230909.09,5.23,34.25
Swaziland,12.00,31.32,24.70,3791304.35,3.79,38.89
Sweden,33816.00,1166.88,94.78,558948700.80,558.95,17.65
Switzerland,21249.00,3148.89,86.70,650376882.00,650.38,8.08
Syria,208.00,1622.54,26.20,,,18.40
Tajikistan,94.00,3581.89,16.00,8508103.46,8.51,40.97
