,btc_softw_dl_14,btc_softw_dl_13,bitc_softw_dl_12,remitt_USDmil_13 ,remitt_USDmil_12,intusers_%ofpop_13,intusers_%pop_12,gdp_13,gdp_12,blackmkt_%gdp_08
Ghana,193,1895,207,137.952,137.952,12.3,12.3,"47,928,717,949","41,740,897,827",37.42
Greece,1570,13122,4145,804.7520942,681.2267481,59.8663,55.06999344,"241,720,741,048","248,424,267,494",26.16
Guatemala,113,788,140,5370.6445,5030.649507,19.7,16,"53,796,711,129","50,388,454,861",47.39
Guinea,8,15,4,66.3,66.3,1.6,1.490144366,"6,192,819,667","5,651,088,170",38.51
Guyana,22,59,13,328.2,469.2584055,33,33,"3,075,733,571","2,851,154,076",33.88
Haiti,16,97,20,1780.995274,1612.32605,10.6,9.8,"8,459,326,660","7,890,216,508",57.05
Honduras,72,419,132,3136.002216,2920.369783,17.8,18.12,"18,550,011,298","18,564,264,545",44.44
Hong Kong,3055,17594,1416,359.8508992,366.8152673,74.2,72.9,"274,012,815,224","262,630,086,122",14.55
Hungary,2808,15547,1986,2267.514032,2143.698474,72.6439,70.57999815,"129,988,654,194","124,600,394,632",23.51
Iceland,215,1484,469,20.63178601,19.23268642,96.5468,96.20979955,"14,619,878,414","13,586,213,061",14.6
India,6438,35246,5739,69970.36085,68820.51784,15.1,12.58006091,"1,876,797,199,133","1,858,744,737,180",20
Indonesia,6122,11658,1567,7615.347028,7212.196578,15.82,14.7,"868,345,645,449","876,719,347,689",17.82
Iran,90,688,0,1330,1330,31.4,27.5,"368,904,351,627","502,729,273,638",16.95
Iraq,45,399,116,271,271,9.2,7.1,"222,879,355,403","215,837,906,604",
Ireland,1267,10605,3377,718.459819,700.3860596,78.2477,76.91999254,"217,815,840,202","210,638,080,064",15.12
Israel,2111,18560,3992,764.8,684.9,70.8,70.8,"291,357,078,730","257,621,957,027",20.68
Italy,10964,46465,16010,7471.026821,7326.336256,58.4593,55.82999799,"2,071,306,890,125","2,013,265,404,946",26.65
Ivory Coast,152,708,52,373.4775658,373.4775658,2.6,2.4,"30,905,260,389","24,680,372,724",46.93
Jamaica,144,613,168,2160.966584,2145.382922,37.8,33.79,"14,362,262,585","14,794,802,081",32.3
Japan,8467,21279,2313,2363.853398,2539.577665,86.25,86.25,"4,901,529,519,266","5,937,766,585,288",10.26
Jordan,87,644,139,3642.676056,3489.577465,44.2,41,"33,678,459,200","31,015,239,496",17.13
Kazakhstan,1215,4901,1479,207.2471347,171.2979445,54,53.31566912,"224,414,773,758","203,517,198,089",37.01
Kenya,243,1234,514,1337.598022,1213.552387,39,32.1,"44,101,114,724","40,264,403,585",28.95
Kuwait,61,657,270,4.096630032,2.613869436,75.46,70.45,"183,219,310,563","183,219,310,563",17.04
Kyrgyzstan,151,685,146,2277.998114,2031.374213,23.4,21.72,"7,226,295,003","6,605,133,551",38.18
Laos,23,121,22,58.51687941,,12.5,10.74767619,"11,141,187,664","9,386,913,253",26.48
Latvia,804,4151,1629,762.4,729.8,75.2344,73.11994377,"30,956,691,628",28372577697,26.36
Lebanon,102,820,231,7550.553707,6918.082441,70.5,61.24978572,"44,352,418,120","43,205,095,854",32.36
Lesotho,1,8,1,543.4465891,554.0336909,5,4.58961763,"2,229,735,839",2328196275,28.71
Liberia,1,13,3,359.9938425,359.9938425,4.6,3.7941,"1,950,960,138","1,733,828,405",43.95
