,btc_dl,btc_by_int_users,remitt_in_13,remitt_percentgdp_2013,gdp_13,mobile_phone_13,int_users_per100,inflation_13,blk_market_08,mig_to_OECD,population
Denmark,15109,14293.114,1377.8,0.4,335877.5,127.5,94.6,0.8,16.7,13539,5614932
Turkey,14324,6632.012,1128,0.1,822135.2,93,46.3,7.5,28.6,160153,74932641
Greece,13122,7860.078,823.9,0.3,242230.3,116.8,59.9,-0.9,26.2,21164,11027549
Bulgaria,12195,6475.545,1719,3.2,54479.9,145.2,53.1,0.9,31.9,75922,7265115
Indonesia,11658,1841.964,8551.4,1,868345.7,121.5,15.8,6.4,17.8,252170,249865631
South Africa,11622,5683.158,1038.8,0.3,366057.9,147.5,48.9,3.3,24.9,135309,53157490
Belarus,11585,6279.07,1258.2,1.8,71709.5,118.8,54.2,18.3,41.7,28084,9466000
New Zealand,11060,9157.68,475.9,0.3,185787.8,105.8,82.8,1.3,11.9,147630,4442100
Ireland,10605,8293.11,801.5,0.3,232077.4,102.8,78.2,0.5,15.1,4548,4597558
Lithuania,10433,7146.605,2399.2,5.2,45932,151.3,68.5,1.1,28.8,36545,2957689
Malaysia,9751,6533.17,1565,0.5,313159.1,144.7,67,2.1,29.3,196864,29716965
Chile,9378,6236.37,0.3,,277198.8,134.3,66.5,1.8,18.3,74445,17619708
Vietnam,7543,3311.377,12000,7,171390,130.9,43.9,6.6,13.9,428652,89708900
Philippines,7135,2639.95,28403.5,10.4,272066.6,104.5,37,3,38.2,784601,98393574
Thailand,6939,2005.371,5655.3,1.5,387252.2,138,28.9,2.2,47.9,223201,67010502
Slovenia,6920,5030.84,716.7,1.5,47987.3,110.2,72.7,1.8,24.1,12802,2059953
Colombia,6571,3397.207,4232.6,1.1,378415.3,104.1,51.7,2,32.8,59208,48321405
Croatia,6178,4120.726,1524.1,2.6,57868.7,114.5,66.7,2.2,29.8,16716,4255700
Estonia,5874,4699.2,476,1.9,24880.3,159.7,80,2.8,28.7,6589,1317997
Kazakhstan,4901,2646.54,208.8,0.1,231876.3,180.5,54,5.8,37,127100,17035275
Latvia,4151,3121.552,790.3,2.6,30956.7,136.6,75.2,,26.4,5800,2012647
Pakistan,3728,406.352,17060.1,7.3,232286.8,70.1,10.9,7.7,33.1,632239,182142594
Peru,3228,1265.376,2639,1.3,202349.8,98.1,39.2,2.8,52.8,565515,30375603
Saudi Arabia,3024,1829.52,271.9,0,748449.6,176.5,60.5,3.5,16.6,85929,28828870
Moldova,2819,1375.672,1981.1,24.9,7969.6,106,48.8,4.6,43.9,81716,3558566
Dominican Republic,2213,1015.767,4650.3,7.6,61163.7,88.4,45.9,4.8,30.1,180546,10403761
Nigeria,2183,829.54,20921.4,4,521803.3,73.3,38,8.5,49.6,286001,173615345
Cyprus,2066,1353.23,91.1,0.4,21911.4,95.2,65.5,-0.4,26.2,310,1141166
Ecuador,2035,822.14,2524.3,2.7,94472.7,111.5,40.4,2.7,30.2,249660,15737878
Tanzania,1968,86.592,64.3,0.1,43646.7,55.7,4.4,7.9,52.5,2272,49253126
Costa Rica,1934,889.64,611.6,1.2,49621.1,146,46,5.2,23.7,13426,4872166
Ghana,1895,233.085,126.2,0.3,48137,108.2,12.3,11.6,37.4,112415,25904598
Luxembourg,1761,1651.818,1963.9,3.3,60130.8,148.6,93.8,1.7,9.1,3176,543360
Uruguay,1586,921.466,123.8,0.2,55707.9,154.6,58.1,8.6,45.3,53113,3407062
Bosnia and Herzegovina,1581,1073.499,1993.2,11.2,17851.3,91.2,67.9,-0.1,32,NA,3829307
Algeria,1556,256.74,2019.9,1,210183.4,102,16.5,3.3,30.9,169472,39208194
Kenya,1234,481.26,1480.5,2.7,55243.1,70.6,39,5.7,29,73992,44353691
Bangladesh,1228,79.82,14968.6,10,149990.5,67.1,6.5,7.5,33.4,433833,156594962
Tunisia,1149,503.262,2313.8,4.9,46993.6,115.6,43.8,5.8,35.3,21559,10886500
Panama,1049,450.021,760.3,1.8,42648.1,163,42.9,4,58.7,6858,3864170
Albania,935,561.935,1118.1,8.7,12923.2,116.2,60.1,1.9,32.1,68430,2897366
Georgia,931,401.261,2065.2,12.8,16140,115,43.1,-0.5,59.9,40763,4487200
Bolivia,923,364.585,1201.3,3.9,30601.2,97.7,39.5,5.7,63.3,139549,10671200
Malta,909,626.301,664.9,6.9,9642.3,129.8,68.9,1.4,26.3,110,423374
Sri Lanka,803,175.857,7036.3,10.5,67182,95.5,21.9,6.9,41.3,194402,20483000
Guatemala,788,155.236,5844.6,10.9,53796.7,140.4,19.7,4.3,47.4,205191,15468203
Azerbaijan,744,436.728,1897.8,2.6,73560.5,107.6,58.7,2.4,51.2,401,9416801
Nepal,691,91.903,5874.5,30.4,19294.3,71.5,13.3,9,35.6,87785,27797457
Kuwait,657,496.035,4.1,0,175830.5,190.3,75.5,2.7,17,11270,3368572
Jordan,644,284.648,3757,11.2,33678.5,141.8,44.2,5.5,17.1,34318,6460000
Armenia,614,284.282,2159,20.7,10432.2,112.4,46.3,5.8,39,4921,2976566
Jamaica,613,231.714,2263.9,15.8,14362.3,100.4,37.8,9.3,32.3,102877,2714734
El Salvador,572,132.132,4236,17.5,24259.1,136.2,23.1,0.8,42.7,288848,6340454
Cambodia,499,29.94,304.4,2,15238.7,133.9,6,2.9,44.4,59718,15135169
Honduras,419,74.582,3329.4,17.9,18550,95.9,17.8,5.2,44.4,98809,8097688
Nicaragua,409,63.395,1140.2,10.1,11255.6,112,15.5,7.1,43,98534,6080478
Angola,355,67.805,,,124178.2,61.9,19.1,8.8,41.1,NA,21471618
Mauritius,316,123.24,266.6,2.2,11929.3,123.2,39,3.5,21.9,7965,1258653
Cameroon,280,17.92,251.3,0.8,29567.5,70.4,6.4,1.9,31.3,76571,22253959
Mongolia,216,38.232,265.3,2.3,11516.4,124.2,17.7,8.6,15.8,15403,2839073
Uganda,180,29.16,993.8,4,24703.3,44.1,16.2,5.5,39.4,85,37578876
Namibia,177,24.603,11.5,0.1,13113.1,110.2,13.9,5.6,28,142,2303315
Ethiopia,170,3.23,646.1,1.4,47525.2,27.3,1.9,8.1,34.3,143239,94100756
Sudan,164,37.228,432.2,0.6,66565.9,72.9,22.7,30,23,128258,37964306
Senegal,147,30.723,1643.6,11.1,14791.7,92.9,20.9,0.7,40.9,115088,14133280
Botswana,138,20.7,48.3,0.3,14784.7,160.6,15,5.9,31.9,992,2021144
Madagascar,128,2.816,432,4.1,10613.5,36.1,2.2,5.8,37.5,13097,22924851
Belize,109,34.553,80.9,5,1624.3,52.9,31.7,0.7,42,6106,331900
Haiti,97,10.282,1954.2,23.1,8459.3,69.4,10.6,5.9,57.1,189973,10317461
Benin,95,4.655,216.7,2.6,8307.2,93.3,4.9,1,48.5,2217,10323474
Tajikistan,94,15.04,3835.4,45.1,8508.1,91.8,16,5,41,10135,8207834
Zambia,70,10.78,58.3,0.2,26820.9,71.5,15.4,7,42.1,2398,14538640
Rwanda,55,4.785,179.4,2.4,7521.3,56.8,8.7,8,38,338,11776522
Togo,50,2.25,343.2,7.9,4338.6,62.5,4.5,1.8,34.7,6140,6816982
Mali,43,0.989,923.4,8.4,10942.7,129.1,2.3,-0.6,39.4,48434,15301650
Burkina Faso,34,1.496,121.5,0.9,12884.9,66.4,4.4,0.5,39.8,21679,16934839
Bhutan,26,7.774,13.8,0.8,1781.3,72.2,29.9,7,27.7,1,753947
Malawi,21,1.134,29.7,0.8,3705.4,32.3,5.4,27.3,39.7,5389,16362567
Guinea,15,0.24,94.8,1.5,6144.1,63.3,1.6,11.9,38.5,59448,11745189
Sierra Leone,10,0.17,104.5,2.5,4136.3,44.1,1.7,10.3,39.2,324,6092075
Niger,6,0.102,156.8,2.1,7407.4,39.3,1.7,2.3,37.1,5323,17831270
Burundi,3,0.039,50.8,1.9,2714.5,25,1.3,8,39.4,NA,10162532
