,btc_dl,remitt_in_13,remitt_percentgdp_2013,gdp_13,mobile_phone_13,int_users_per100,inflation_13,blk_market_08,mig_to_OECD,population
Cuba,393,,NA,,17.7,25.7,,NA,178883,11265629
Syrian Arab Republic,208,1622.5,NA,,56,26.2,,NA,NA,22845550
Andorra,130,,NA,,80.7,94,,NA,NA,79218
Bermuda,123,1304.8,NA,,144.3,95.3,,NA,NA,65024
French Polynesia,96,669.2,NA,,85.6,56.8,,NA,824,276831
New Caledonia,93,478.8,NA,,93.8,66,,NA,685,262000
Greenland,21,,NA,,106,65.8,,NA,NA,56483
Marshall Islands,1,22.2,11.6,190.9,,11.7,,NA,NA,52634
Barbados,268,86.6,NA,,108.1,75,1.8,NA,5591,284644
"Bahamas, The",205,,,8420,76.1,72,0.4,NA,NA,377374
Aruba,142,7.5,NA,,134.9,78.9,-2.4,NA,141,102911
San Marino,40,,NA,,117,50.8,1.6,NA,NA,31448
Timor-Leste,4,45.2,NA,,57.4,1.1,11.2,NA,33165,1180069
Somalia,3,,NA,,49.4,1.5,,NA,104568,10495583
Samoa,1,140.4,17.5,801.9,,15.3,0.6,NA,15640,190372
Myanmar,154,232.2,NA,,12.8,1.2,5.5,NA,52923,53259018
"Congo, Rep.",37,,,14085.9,104.8,6.6,6,NA,NA,4447632
"Macao SAR, China",944,50.1,0.1,51753.1,304.1,65.8,5.5,NA,NA,566375
Uzbekistan,885,5587.7,9.8,56795.7,74.3,38.2,,NA,36510,30243200
Qatar,615,495.9,0.2,203235.2,152.6,85.3,3.1,NA,0,2168673
Brunei Darussalam,200,,,16111.1,112.2,64.5,0.4,30.9,NA,417784
Lao PDR,121,59.8,0.5,11242.5,66.2,12.5,6.4,NA,NA,6769727
Libya,109,,,74199.5,165,16.5,2.6,30.7,38769,6201521
Antigua and Barbuda,73,21.1,1.8,1200.6,127.1,63.4,1.1,NA,NA,89985
St. Vincent and the Grenadines,72,32.6,4.6,709.4,114.6,52,0.8,NA,NA,109373
Turkmenistan,62,29.8,0.1,41850.9,116.9,9.6,,NA,4468,5240072
St. Lucia,54,30.1,2.3,1335.8,116.3,35.2,1.5,NA,NA,182273
Grenada,49,30.8,3.7,835.6,125.6,35,,NA,4777,105897
Cabo Verde,46,187.9,10,1879.4,100.1,37.5,1.5,NA,NA,498897
Dominica,37,23.6,4.6,516.7,130,59,,NA,NA,72003
"Gambia, The",31,191.1,21.2,903.5,100,14,5.7,NA,NA,1849285
Seychelles,30,14.6,1,1443.3,147.3,50.4,4.3,NA,NA,89173
Djibouti,30,35.9,2.5,1456.3,28,9.5,2.4,NA,3149,872932
St. Kitts and Nevis,23,51.6,6.7,765.9,142.1,80,0.7,NA,NA,54191
Tonga,19,114.2,24.5,466.3,54.6,35,0.7,NA,8423,105323
Equatorial Guinea,12,,,15580.6,67.5,16.4,6.4,28.8,0,757014
Vanuatu,9,24.1,2.9,828.2,59.3,11.3,1.4,NA,340,252763
Sao Tome and Principe,1,28.5,9.2,310.7,64.9,23,7.1,NA,NA,192993
Solomon Islands,1,16.8,1.5,1096.4,57.6,8,5.4,NA,795,561231
Russian Federation,163307,7115.6,0.3,2096777,152.8,61.4,6.8,NA,NA,143499861
"Hong Kong SAR, China",17594,373.3,0.1,274012.8,238.7,74.2,4.4,NA,NA,7187500
"Korea, Rep.",15757,6481.4,0.5,1304554,111,84.8,1.3,NA,NA,50219669
Slovak Republic,14779,2120.8,2.2,97707.3,113.9,77.9,1.4,NA,NA,5413393
Singapore,10643,,,297941.3,155.6,73,2.4,12.1,20640,5399200
United Arab Emirates,7657,,,402340.1,171.9,88,1.1,21.9,76086,9346129
Serbia,7150,3656.4,8,45519.7,119.4,51.5,7.7,NA,91413,7164132
"Venezuela, RB",5869,121.2,0,438283.6,101.6,54.9,40.6,NA,NA,30405207
"Egypt, Arab Rep.",2945,19611.8,7.2,271972.8,121.5,49.6,9.5,NA,NA,82056378
"Macedonia, FYR",1577,366.5,3.6,10195.4,106.2,61.2,2.8,NA,NA,2107158
Cote d'Ivoire,708,378.5,1.2,31062,95.4,2.6,2.6,NA,NA,20316086
"Iran, Islamic Rep.",688,1381.8,0.4,368904.4,84.2,31.4,39.3,NA,NA,77447168
Kyrgyz Republic,685,2245.6,31.1,7226.3,121.4,23.4,6.6,NA,NA,5719600
Bahrain,405,,,32890.1,165.9,90,3.2,16.3,0,1332171
Iraq,399,271,0.1,229327.3,96.1,9.2,1.9,NA,11252,33417476
Montenegro,358,441,10,4416.1,159.9,56.8,2.2,NA,2600,621383
Zimbabwe,226,,,13490,96.3,18.5,1.6,62.8,250955,14149648
"Yemen, Rep.",113,3455.3,9.6,35954.5,69,20,11,NA,NA,24407381
Afghanistan,90,636.2,3.1,20309.7,70,5.9,7.6,NA,116723,30551674
Gabon,41,,,19343.5,214.8,9.2,0.5,47.4,17194,1671711
"Congo, Dem. Rep.",36,35.4,0.1,32690.9,43.7,2.2,1.6,NA,NA,67513677
Mauritania,33,,,4158.2,102.5,6.2,4.1,31.4,6537,3889880
Chad,6,,,13513.6,35.6,2.3,0.1,41.6,13778,12825314
Argentina,23754,540.4,0.1,609889,159,59.9,,22.6,327884,41446246
Morocco,2368,6962.2,6.7,103835.7,128.5,56,1.9,32.6,667907,33008150
Iceland,1484,216.1,1.4,15330.1,108.1,96.5,3.9,14.6,1917,323764
Paraguay,964,591,2,29009.4,103.7,36.9,2.7,37.2,37844,6802295
Lebanon,820,8899,20.1,44352.4,80.6,70.5,,32.4,67392,4467390
Trinidad and Tobago,767,131,0.5,24640.8,144.9,63.8,5.2,31.3,NA,1341151
Maldives,303,3.4,0.1,2299.8,181.2,44.1,2.3,27.6,6475,345023
Suriname,199,9,0.2,5298.8,127.3,37.4,2,34.3,9729,539276
Oman,192,39,0,79655.9,154.6,66.5,1.2,16.8,4475,3632444
Mozambique,108,217.9,1.4,15630.3,48,5.4,4.3,38.1,15893,25833752
Guyana,59,340.6,11.4,2990.1,69.4,33,1.8,33.9,37572,799613
Fiji,56,209.4,5.4,3855,101.1,37.1,2.9,32.9,31898,881065
Papua New Guinea,17,15.2,0.1,15413.2,41,6.5,5,36.1,6419,7321262
Liberia,13,528.2,27.1,1951,59.5,4.6,7.6,44,6124,4294077
Swaziland,12,30,0.8,3791.3,71.5,24.7,5.6,38.9,759,1249514
Lesotho,8,456.5,19.5,2335,86.3,5,4.9,28.7,60,2074465
China,584389,64140.3,0.7,9240270.5,88.7,45.8,2.6,11.5,1619523,1357380000
United Kingdom,159702,1839,0.1,2678454.9,123.8,89.8,2.6,12,500232,64106779
Germany,153747,15802.2,0.4,3730260.6,119,84,1.5,15.2,338023,80651873
Canada,113654,1183,0.1,1826768.6,78.4,85.8,0.9,15.1,132360,35154279
Netherlands,77137,1589,0.2,853539.4,113.7,94,2.5,12.9,164814,16804432
Australia,68478,2291.6,0.1,1560372.5,106.8,83,2.4,13.2,153606,23129300
Poland,62097,7466.4,1.4,525866,150,62.8,1,25.5,46479,38514479
France,60469,24760.3,0.9,2806428,98.5,81.9,0.9,14.6,503057,65939866
Brazil,53935,2427.3,0.1,2245673,135.3,51.6,6.2,36.4,450533,200361925
Spain,52180,10990.1,0.8,1393040.2,106.9,71.6,1.4,22,352,46617825
Ukraine,46944,7587.3,4.3,177430.6,138.1,41.8,-0.3,46.2,177788,45489600
Italy,46465,7714.9,0.4,2149484.5,158.9,58.5,1.2,26.7,10141,60233948
India,35246,70389,3.8,1875141.5,70.8,15.1,10.9,20,1554805,1252139596
Sweden,33816,3976,0.7,579680,124.4,94.8,,17.7,34388,9600379
Czech Republic,23737,2537,1.2,208796,131.3,74.1,1.4,16.8,18401,10514272
Japan,21279,3728.7,0.1,4919563.1,115.2,86.3,0.4,10.3,50979,127338621
Switzerland,21249,2737.1,0.4,685434.2,133.8,86.7,-0.2,8.1,143755,8087875
Romania,21165,3430.7,1.8,189638.2,105.6,49.8,4,29.6,173807,19981358
Belgium,19599,11321.6,2.2,524805.5,110.9,82.2,1.1,21.1,22336,11182817
Norway,18693,760.3,0.1,512580.4,116.5,95.1,2.1,17.8,4772,5080166
Israel,18560,901.3,0.3,290550.6,122.8,70.8,1.5,20.7,62820,8059500
Austria,17906,2956.4,0.7,428321.9,156.2,80.6,2,9.4,23823,8479823
Mexico,17526,24865.6,2,1260914.7,85.8,43.5,3.8,28.5,2020988,122332399
Finland,17290,1105.7,0.4,267328.6,171.7,91.5,1.5,16.8,1327,5438972
Portugal,15940,4351.5,1.9,227323.7,113,62.1,0.3,22.8,13479,10457295
Hungary,15547,4473,3.4,133423.9,116.4,72.6,1.7,23.5,1988,9893899
Denmark,15109,1377.8,0.4,335877.5,127.5,94.6,0.8,16.7,13539,5614932
Turkey,14324,1128,0.1,822135.2,93,46.3,7.5,28.6,160153,74932641
Greece,13122,823.9,0.3,242230.3,116.8,59.9,-0.9,26.2,21164,11027549
Bulgaria,12195,1719,3.2,54479.9,145.2,53.1,0.9,31.9,75922,7265115
Indonesia,11658,8551.4,1,868345.7,121.5,15.8,6.4,17.8,252170,249865631
South Africa,11622,1038.8,0.3,366057.9,147.5,48.9,3.3,24.9,135309,53157490
Belarus,11585,1258.2,1.8,71709.5,118.8,54.2,18.3,41.7,28084,9466000
New Zealand,11060,475.9,0.3,185787.8,105.8,82.8,1.3,11.9,147630,4442100
Ireland,10605,801.5,0.3,232077.4,102.8,78.2,0.5,15.1,4548,4597558
Lithuania,10433,2399.2,5.2,45932,151.3,68.5,1.1,28.8,36545,2957689
Malaysia,9751,1565,0.5,313159.1,144.7,67,2.1,29.3,196864,29716965
Chile,9378,0.3,,277198.8,134.3,66.5,1.8,18.3,74445,17619708
Vietnam,7543,12000,7,171390,130.9,43.9,6.6,13.9,428652,89708900
Philippines,7135,28403.5,10.4,272066.6,104.5,37,3,38.2,784601,98393574
Thailand,6939,5655.3,1.5,387252.2,138,28.9,2.2,47.9,223201,67010502
