,btc_dl,remitt_in_13,remitt_percentgdp_2013,gdp_13,mobile_phone_13,int_users_per100,account_percentfin_inst,inflation_13,blk_market_08,mig_to_OECD,population,btc_dl_percapita
Philippines,6262.00,28403.49,10.44,272066.55,104.50,37.00,28.07,3.00,38.17,784601.00,98393574.00,0.00
Thailand,6183.00,5655.31,1.46,387252.16,137.98,28.94,78.14,2.18,47.90,223201.00,67010502.00,0.00
Slovenia,6345.00,716.69,1.49,47987.30,110.21,72.68,97.24,1.76,24.11,12802.00,2059953.00,0.00
Colombia,6013.00,4232.58,1.12,378415.33,104.08,51.70,38.35,2.02,32.84,59208.00,48321405.00,0.00
Croatia,5167.00,1524.07,2.63,57868.67,114.51,66.75,86.03,2.21,29.77,16716.00,4255700.00,0.00
Estonia,4481.00,476.00,1.91,24880.26,159.66,80.00,97.67,2.79,28.70,6589.00,1317997.00,0.00
Kazakhstan,3774.00,208.82,0.09,231876.28,180.50,54.00,53.91,5.84,37.01,127100.00,17035275.00,0.00
Latvia,3727.00,790.29,2.55,30956.69,136.56,75.23,90.22,0.00,26.36,5800.00,2012647.00,0.00
Pakistan,3335.00,17060.14,7.34,232286.78,70.13,10.90,8.71,7.69,33.10,632239.00,182142594.00,0.00
Peru,2818.00,2638.98,1.30,202349.85,98.08,39.20,28.98,2.82,52.76,565515.00,30375603.00,0.00
Saudi Arabia,2659.00,271.87,0.04,748449.60,176.50,60.50,69.41,3.51,16.61,85929.00,28828870.00,0.00
Moldova,2421.00,1981.12,24.86,7969.62,106.01,48.80,17.76,4.64,43.94,81716.00,3558566.00,0.00
Dominican Republic,1966.00,4650.34,7.60,61163.68,88.43,45.90,53.99,4.83,30.11,180546.00,10403761.00,0.00
Nigeria,2018.00,20921.45,4.01,521803.31,73.29,38.00,44.17,8.48,49.64,286001.00,173615345.00,0.00
Cyprus,1838.00,91.11,0.42,21911.44,95.18,65.45,90.15,-0.40,26.19,310.00,1141166.00,0.00
Ecuador,1708.00,2524.30,2.67,94472.68,111.46,40.35,46.21,2.74,30.18,249660.00,15737878.00,0.00
Tanzania,1953.00,64.31,0.15,43646.75,55.72,4.40,19.04,7.87,52.52,2272.00,49253126.00,0.00
Costa Rica,1692.00,611.61,1.23,49621.09,145.97,45.96,64.55,5.22,23.67,13426.00,4872166.00,0.00
Ghana,1727.00,126.22,0.26,48137.03,108.19,12.30,34.62,11.61,37.42,112415.00,25904598.00,0.00
Luxembourg,1681.00,1963.91,3.27,60130.85,148.64,93.78,96.17,1.73,9.13,3176.00,543360.00,0.00
Uruguay,1477.00,123.79,0.22,55707.94,154.62,58.10,45.36,8.58,45.25,53113.00,3407062.00,0.00
Bosnia and Herzegovina,1302.00,1993.24,11.17,17851.33,91.17,67.90,52.69,-0.09,32.03,,3829307.00,0.00
Algeria,1379.00,2019.92,0.96,210183.41,102.01,16.50,50.48,3.25,30.87,169472.00,39208194.00,0.00
Kenya,1127.00,1480.53,2.68,55243.06,70.59,39.00,55.21,5.72,28.95,73992.00,44353691.00,0.00
Bangladesh,1067.00,14968.58,9.98,149990.45,67.08,6.50,29.14,7.53,33.40,433833.00,156594962.00,0.00
Tunisia,1030.00,2313.77,4.92,46993.60,115.60,43.80,27.26,5.80,35.27,21559.00,10886500.00,0.00
Panama,949.00,760.30,1.78,42648.10,162.97,42.90,43.40,4.03,58.65,6858.00,3864170.00,0.00
Albania,804.00,1118.12,8.65,12923.24,116.16,60.10,37.99,1.94,32.06,68430.00,2897366.00,0.00
Georgia,816.00,2065.18,12.80,16140.05,115.03,43.10,39.67,-0.52,59.93,40763.00,4487200.00,0.00
Bolivia,819.00,1201.34,3.93,30601.16,97.70,39.50,40.71,5.72,63.34,139549.00,10671200.00,0.00
Malta,845.00,664.91,6.90,9642.33,129.75,68.91,96.33,1.37,26.32,110.00,423374.00,0.00
Sri Lanka,692.00,7036.34,10.47,67182.02,95.50,21.90,82.69,6.91,41.31,194402.00,20483000.00,0.00
Guatemala,693.00,5844.61,10.86,53796.71,140.39,19.70,40.79,4.34,47.39,205191.00,15468203.00,0.00
Azerbaijan,648.00,1897.79,2.58,73560.48,107.61,58.70,29.15,2.42,51.21,401.00,9416801.00,0.00
Nepal,573.00,5874.53,30.45,19294.35,71.46,13.30,33.80,9.04,35.63,87785.00,27797457.00,0.00
Kuwait,606.00,4.10,0.00,175830.50,190.29,75.46,72.91,2.70,17.04,11270.00,3368572.00,0.00
Jordan,570.00,3756.96,11.16,33678.50,141.80,44.20,24.62,5.47,17.13,34318.00,6460000.00,0.00
Armenia,538.00,2159.00,20.70,10432.17,112.42,46.30,17.24,5.79,39.00,4921.00,2976566.00,0.00
Jamaica,496.00,2263.93,15.76,14362.26,100.42,37.80,78.35,9.34,32.30,102877.00,2714734.00,0.00
El Salvador,487.00,4235.99,17.46,24259.10,136.19,23.11,34.63,0.79,42.71,288848.00,6340454.00,0.00
Cambodia,421.00,304.40,2.00,15238.69,133.89,6.00,12.56,2.94,44.36,59718.00,15135169.00,0.00
Honduras,374.00,3329.42,17.95,18550.03,95.92,17.80,30.04,5.16,44.44,98809.00,8097688.00,0.00
Nicaragua,370.00,1140.20,10.13,11255.61,111.98,15.50,18.85,7.14,43.00,98534.00,6080478.00,0.00
Angola,196.00,0.05,0.00,124178.24,61.87,19.10,29.32,8.78,41.09,,21471618.00,0.00
Mauritius,295.00,266.61,2.23,11929.25,123.24,39.00,82.21,3.54,21.85,7965.00,1258653.00,0.00
Cameroon,274.00,251.30,0.85,29567.50,70.39,6.40,11.35,1.95,31.29,76571.00,22253959.00,0.00
Mongolia,179.00,265.28,2.30,11516.41,124.18,17.70,91.82,8.60,15.81,15403.00,2839073.00,0.00
Uganda,173.00,993.83,4.02,24703.25,44.09,16.20,27.78,5.46,39.38,85.00,37578876.00,0.00
Namibia,152.00,11.48,0.09,13113.07,110.21,13.90,58.06,5.60,28.02,142.00,2303315.00,0.00
Ethiopia,161.00,646.13,1.36,47525.19,27.25,1.90,21.79,8.08,34.26,143239.00,94100756.00,0.00
Sudan,146.00,432.24,0.65,66565.89,72.85,22.70,15.27,29.96,22.97,128258.00,37964306.00,0.00
Senegal,105.00,1643.55,11.11,14791.70,92.93,20.90,11.92,0.70,40.85,115088.00,14133280.00,0.00
Botswana,133.00,48.27,0.33,14784.71,160.64,15.00,49.24,5.88,31.85,992.00,2021144.00,0.00
Madagascar,120.00,431.98,4.07,10613.49,36.13,2.20,5.73,5.83,37.47,13097.00,22924851.00,0.00
Belize,104.00,80.94,4.98,1624.29,52.94,31.70,48.21,0.65,41.97,6106.00,331900.00,0.00
Haiti,91.00,1954.16,23.10,8459.33,69.40,10.60,17.50,5.85,57.05,189973.00,10317461.00,0.00
Benin,79.00,216.72,2.61,8307.22,93.26,4.90,15.98,0.97,48.49,2217.00,10323474.00,0.00
Tajikistan,70.00,3835.42,45.08,8508.10,91.83,16.00,11.46,5.01,40.97,10135.00,8207834.00,0.00
Zambia,57.00,58.30,0.22,26820.87,71.50,15.40,31.29,6.98,42.08,2398.00,14538640.00,0.00
Rwanda,53.00,179.39,2.39,7521.26,56.80,8.70,38.14,8.04,37.97,338.00,11776522.00,0.00
Togo,39.00,343.23,7.91,4338.58,62.53,4.50,17.61,1.77,34.71,6140.00,6816982.00,0.00
Mali,48.00,923.40,8.44,10942.73,129.07,2.30,13.25,-0.60,39.41,48434.00,15301650.00,0.00
Burkina Faso,30.00,121.46,0.94,12884.92,66.38,4.40,13.42,0.54,39.79,21679.00,16934839.00,0.00
Bhutan,11.00,13.83,0.78,1781.26,72.20,29.90,33.67,7.01,27.65,1.00,753947.00,0.00
Malawi,15.00,29.67,0.80,3705.39,32.33,5.40,16.14,27.28,39.69,5389.00,16362567.00,0.00
Guinea,14.00,94.78,1.54,6144.13,63.32,1.60,6.17,11.89,38.51,59448.00,11745189.00,0.00
Sierra Leone,9.00,104.45,2.53,4136.28,44.13,1.70,14.15,10.27,39.15,324.00,6092075.00,0.00
Niger,2.00,156.75,2.12,7407.42,39.29,1.70,3.49,2.30,37.14,5323.00,17831270.00,0.00
Burundi,2.00,50.79,1.87,2714.51,24.96,1.30,6.94,7.95,39.41,,10162532.00,0.00
