region_orig,region_orig_id,region_dest,region_dest_id,country_orig,origin_OECD,country_orig_id,country_dest,country_dest_id,destination_OECD,regionflow_1990,regionflow_1995,regionflow_2000,regionflow_2005,countryflow_1990,countryflow_1995,countryflow_2000,countryflow_2005,metadata
North America,1,Africa,2,Canada,1,CAN,Tanzania,TZA,0,103553,15550,35446,63080,29,0,0,742,
North America,1,Africa,2,Canada,1,CAN,Uganda,UGA,0,103553,15550,35446,63080,14,170,57,466,
North America,1,Africa,2,Canada,1,CAN,South Africa,ZAF,0,103553,15550,35446,63080,20451,274,891,747,
North America,1,Africa,2,Canada,1,CAN,Zambia,ZMB,0,103553,15550,35446,63080,51,0,0,0,
North America,1,Africa,2,Canada,1,CAN,Zimbabwe,ZWE,0,103553,15550,35446,63080,0,0,0,0,
North America,1,Africa,2,United States,1,USA,Angola,AGO,0,103553,15550,35446,63080,4345,0,1229,1045,
North America,1,Africa,2,United States,1,USA,Burundi,BDI,0,103553,15550,35446,63080,0,0,0,1536,
North America,1,Africa,2,United States,1,USA,Benin,BEN,0,103553,15550,35446,63080,168,0,29,10,
North America,1,Africa,2,United States,1,USA,Burkina Faso,BFA,0,103553,15550,35446,63080,17,0,0,0,
North America,1,Africa,2,United States,1,USA,Botswana,BWA,0,103553,15550,35446,63080,607,2,698,768,
North America,1,Africa,2,United States,1,USA,Central African Republic,CAF,0,103553,15550,35446,63080,730,0,130,277,
North America,1,Africa,2,United States,1,USA,Ivory Coast,CIV,0,103553,15550,35446,63080,418,0,0,0,
North America,1,Africa,2,United States,1,USA,Cameroon,CMR,0,103553,15550,35446,63080,14,0,285,16,
North America,1,Africa,2,United States,1,USA,DR Congo,COD,0,103553,15550,35446,63080,4872,0,0,188,
North America,1,Africa,2,United States,1,USA,Congo,COG,0,103553,15550,35446,63080,281,0,39,499,
North America,1,Africa,2,United States,1,USA,Comoros,COM,0,103553,15550,35446,63080,1,0,10,2,
North America,1,Africa,2,United States,1,USA,Cape Verde,CPV,0,103553,15550,35446,63080,239,4,217,236,
North America,1,Africa,2,United States,1,USA,Djibouti,DJI,0,103553,15550,35446,63080,0,0,0,0,
North America,1,Africa,2,United States,1,USA,Algeria,DZA,0,103553,15550,35446,63080,17,0,1806,2037,
North America,1,Africa,2,United States,1,USA,Egypt,EGY,0,103553,15550,35446,63080,0,0,759,1390,
North America,1,Africa,2,United States,1,USA,Eritrea,ERI,0,103553,15550,35446,63080,0,0,20,0,
North America,1,Africa,2,United States,1,USA,Western Sahara,ESH,0,103553,15550,35446,63080,0,0,28,4,
North America,1,Africa,2,United States,1,USA,Ethiopia,ETH,0,103553,15550,35446,63080,0,0,0,0,
North America,1,Africa,2,United States,1,USA,Gabon,GAB,0,103553,15550,35446,63080,347,0,52,38,
North America,1,Africa,2,United States,1,USA,Ghana,GHA,0,103553,15550,35446,63080,506,1,189,207,
North America,1,Africa,2,United States,1,USA,Guinea,GIN,0,103553,15550,35446,63080,3261,0,0,0,
North America,1,Africa,2,United States,1,USA,Gambia,GMB,0,103553,15550,35446,63080,1,0,0,0,
North America,1,Africa,2,United States,1,USA,Guinea-Bissau,GNB,0,103553,15550,35446,63080,224,0,0,15,
North America,1,Africa,2,United States,1,USA,Equatorial Guinea,GNQ,0,103553,15550,35446,63080,287,54,380,116,
North America,1,Africa,2,United States,1,USA,Kenya,KEN,0,103553,15550,35446,63080,2,0,0,11,
North America,1,Africa,2,United States,1,USA,Liberia,LBR,0,103553,15550,35446,63080,939,8403,0,13221,
North America,1,Africa,2,United States,1,USA,Libya,LBY,0,103553,15550,35446,63080,111,0,341,528,
North America,1,Africa,2,United States,1,USA,Lesotho,LSO,0,103553,15550,35446,63080,34,0,37,30,
North America,1,Africa,2,United States,1,USA,Morocco,MAR,0,103553,15550,35446,63080,0,0,7,10,
North America,1,Africa,2,United States,1,USA,Madagascar,MDG,0,103553,15550,35446,63080,79,0,668,213,
North America,1,Africa,2,United States,1,USA,Mali,MLI,0,103553,15550,35446,63080,179,0,0,0,
North America,1,Africa,2,United States,1,USA,Mozambique,MOZ,0,103553,15550,35446,63080,20,0,0,0,
North America,1,Africa,2,United States,1,USA,Mauritania,MRT,0,103553,15550,35446,63080,93,0,190,119,
North America,1,Africa,2,United States,1,USA,Mauritius,MUS,0,103553,15550,35446,63080,70,0,78,72,
North America,1,Africa,2,United States,1,USA,Malawi,MWI,0,103553,15550,35446,63080,24,0,0,0,
North America,1,Africa,2,United States,1,USA,Mayotte,MYT,0,103553,15550,35446,63080,14,0,197,69,
North America,1,Africa,2,United States,1,USA,Namibia,NAM,0,103553,15550,35446,63080,495,0,0,0,
North America,1,Africa,2,United States,1,USA,Niger,NER,0,103553,15550,35446,63080,45,1,0,0,
North America,1,Africa,2,United States,1,USA,Nigeria,NGA,0,103553,15550,35446,63080,27,0,0,0,
North America,1,Africa,2,United States,1,USA,Reunion,REU,0,103553,15550,35446,63080,25,0,578,133,
North America,1,Africa,2,United States,1,USA,Rwanda,RWA,0,103553,15550,35446,63080,0,1095,42,722,
North America,1,Africa,2,United States,1,USA,Sudan,SDN,0,103553,15550,35446,63080,465,0,544,0,
North America,1,Africa,2,United States,1,USA,Senegal,SEN,0,103553,15550,35446,63080,441,0,0,0,
North America,1,Africa,2,United States,1,USA,Sierra Leone,SLE,0,103553,15550,35446,63080,193,20,5664,0,
North America,1,Africa,2,United States,1,USA,Somalia,SOM,0,103553,15550,35446,63080,0,0,0,0,
North America,1,Africa,2,United States,1,USA,South Sudan,SSD,0,103553,15550,35446,63080,0,0,1583,11165,
North America,1,Africa,2,United States,1,USA,Sao Tome & Principe,STP,0,103553,15550,35446,63080,4,0,1,2,
North America,1,Africa,2,United States,1,USA,Swaziland,SWZ,0,103553,15550,35446,63080,59,0,0,83,
North America,1,Africa,2,United States,1,USA,Chad,TCD,0,103553,15550,35446,63080,9,0,1018,0,
North America,1,Africa,2,United States,1,USA,Togo,TGO,0,103553,15550,35446,63080,138,82,42,51,
North America,1,Africa,2,United States,1,USA,Tunisia,TUN,0,103553,15550,35446,63080,25,0,2,41,
North America,1,Africa,2,United States,1,USA,Tanzania,TZA,0,103553,15550,35446,63080,290,0,0,1026,
North America,1,Africa,2,United States,1,USA,Uganda,UGA,0,103553,15550,35446,63080,53,30,470,906,
North America,1,Africa,2,United States,1,USA,South Africa,ZAF,0,103553,15550,35446,63080,55951,171,15415,15712,
North America,1,Africa,2,United States,1,USA,Zambia,ZMB,0,103553,15550,35446,63080,280,0,8,14,
North America,1,Africa,2,United States,1,USA,Zimbabwe,ZWE,0,103553,15550,35446,63080,181,0,0,0,
North America,1,Europe,3,Canada,1,CAN,Albania,ALB,0,912783,56817,1105368,1215929,0,17,26,35,
North America,1,Europe,3,Canada,1,CAN,Austria,AUT,1,912783,56817,1105368,1215929,2576,128,1796,2162,
North America,1,Europe,3,Canada,1,CAN,Belgium,BEL,1,912783,56817,1105368,1215929,2355,386,2079,2586,
North America,1,Europe,3,Canada,1,CAN,Bulgaria,BGR,0,912783,56817,1105368,1215929,52,51,218,327,
North America,1,Europe,3,Canada,1,CAN,Bosnia & Herzegovina,BIH,0,912783,56817,1105368,1215929,0,6101,0,0,
North America,1,Europe,3,Canada,1,CAN,Switzerland,CHE,1,912783,56817,1105368,1215929,3265,144,2311,2063,
North America,1,Europe,3,Canada,1,CAN,Channel Islands,CHI,0,912783,56817,1105368,1215929,7,0,35,0,
North America,1,Europe,3,Canada,1,CAN,Czech Republic,CZE,1,912783,56817,1105368,1215929,1555,510,242,4314,
North America,1,Europe,3,Canada,1,CAN,Germany,DEU,1,912783,56817,1105368,1215929,63175,2929,11968,16084,
North America,1,Europe,3,Canada,1,CAN,Denmark,DNK,1,912783,56817,1105368,1215929,825,467,475,1086,
North America,1,Europe,3,Canada,1,CAN,Spain,ESP,1,912783,56817,1105368,1215929,6247,1967,23442,18616,
North America,1,Europe,3,Canada,1,CAN,Finland,FIN,1,912783,56817,1105368,1215929,553,140,383,1101,
North America,1,Europe,3,Canada,1,CAN,France,FRA,1,912783,56817,1105368,1215929,2784,53,2529,2319,
North America,1,Europe,3,Canada,1,CAN,United Kingdom,GBR,1,912783,56817,1105368,1215929,8957,4016,19390,21299,
North America,1,Europe,3,Canada,1,CAN,Greece,GRC,1,912783,56817,1105368,1215929,19651,3054,4821,4051,
North America,1,Europe,3,Canada,1,CAN,Croatia,HRV,0,912783,56817,1105368,1215929,379,241,11,29,
North America,1,Europe,3,Canada,1,CAN,Hungary,HUN,0,912783,56817,1105368,1215929,1467,4395,1678,2402,
North America,1,Europe,3,Canada,1,CAN,Ireland,IRL,1,912783,56817,1105368,1215929,2869,1782,2309,582,
North America,1,Europe,3,Canada,1,CAN,Iceland,ISL,1,912783,56817,1105368,1215929,119,78,438,786,
North America,1,Europe,3,Canada,1,CAN,Italy,ITA,1,912783,56817,1105368,1215929,1225,494,31219,39209,
North America,1,Europe,3,Canada,1,CAN,Luxembourg,LUX,1,912783,56817,1105368,1215929,953,10,296,305,
North America,1,Europe,3,Canada,1,CAN,Macedonia,MKD,0,912783,56817,1105368,1215929,0,0,2,3,
North America,1,Europe,3,Canada,1,CAN,Malta,MLT,0,912783,56817,1105368,1215929,320,116,44,33,
North America,1,Europe,3,Canada,1,CAN,Montenegro,MNE,0,912783,56817,1105368,1215929,6,0,18,25,
North America,1,Europe,3,Canada,1,CAN,Netherlands,NLD,1,912783,56817,1105368,1215929,2047,406,1635,1600,
North America,1,Europe,3,Canada,1,CAN,Norway,NOR,1,912783,56817,1105368,1215929,539,275,1335,3231,
